Datetime,Water Level (m)
2024-06-18 18:00:00,0.5235577
2024-06-18 19:00:00,-0.014619218
2024-06-18 20:00:00,-0.41185665
2024-06-18 21:00:00,-0.69469637
2024-06-18 22:00:00,-0.8478429
2024-06-18 23:00:00,-0.68113375
2024-06-19 00:00:00,-0.07430927
2024-06-19 01:00:00,0.6003397
2024-06-19 02:00:00,1.1604608
2024-06-19 03:00:00,1.5041282
2024-06-19 04:00:00,1.534401
2024-06-19 05:00:00,1.4219383
2024-06-19 06:00:00,1.0598284
2024-06-19 07:00:00,0.54892063
2024-06-19 08:00:00,0.077874556
2024-06-19 09:00:00,-0.26495555
2024-06-19 10:00:00,-0.5027055
2024-06-19 11:00:00,-0.55788994
2024-06-19 12:00:00,-0.28661618
2024-06-19 13:00:00,0.28388324
2024-06-19 14:00:00,0.8490018
2024-06-19 15:00:00,1.2344627
2024-06-19 16:00:00,1.323497
2024-06-19 17:00:00,1.1769024
2024-06-19 18:00:00,0.78766847
2024-06-19 19:00:00,0.25447935
2024-06-19 20:00:00,-0.21374588
2024-06-19 21:00:00,-0.5811674
2024-06-19 22:00:00,-0.8554559
2024-06-19 23:00:00,-0.96547645
2024-06-20 00:00:00,-0.6422752
2024-06-20 01:00:00,0.08942521
2024-06-20 02:00:00,0.7927681
2024-06-20 03:00:00,1.3376334
2024-06-20 04:00:00,1.5782434
2024-06-20 05:00:00,1.6227804
2024-06-20 06:00:00,1.4289081
2024-06-20 07:00:00,1.003145
2024-06-20 08:00:00,0.48143676
2024-06-20 09:00:00,-0.014483777
2024-06-20 10:00:00,-0.40107778
2024-06-20 11:00:00,-0.6589906
2024-06-20 12:00:00,-0.71024436
2024-06-20 13:00:00,-0.29948634
2024-06-20 14:00:00,0.4398944
2024-06-20 15:00:00,1.0388129
2024-06-20 16:00:00,1.382705
2024-06-20 17:00:00,1.4384317
2024-06-20 18:00:00,1.1967181
2024-06-20 19:00:00,0.66095144
2024-06-20 20:00:00,0.07110085
2024-06-20 21:00:00,-0.40413302
2024-06-20 22:00:00,-0.7649566
2024-06-20 23:00:00,-1.0187085
2024-06-21 00:00:00,-1.047485
2024-06-21 01:00:00,-0.5688576
2024-06-21 02:00:00,0.22739615
2024-06-21 03:00:00,0.9417455
2024-06-21 04:00:00,1.4484956
2024-06-21 05:00:00,1.6950564
2024-06-21 06:00:00,1.7119796
2024-06-21 07:00:00,1.433788
2024-06-21 08:00:00,0.8870436
2024-06-21 09:00:00,0.30913728
2024-06-21 10:00:00,-0.18662576
2024-06-21 11:00:00,-0.5692896
2024-06-21 12:00:00,-0.8019946
2024-06-21 13:00:00,-0.8020138
2024-06-21 14:00:00,-0.27771124
2024-06-21 15:00:00,0.47235736
2024-06-21 16:00:00,1.0714377
2024-06-21 17:00:00,1.3832502
2024-06-21 18:00:00,1.4584469
2024-06-21 19:00:00,1.1430082
2024-06-21 20:00:00,0.5573015
2024-06-21 21:00:00,-0.046014052
2024-06-21 22:00:00,-0.5160136
2024-06-21 23:00:00,-0.8802326
2024-06-22 00:00:00,-1.1147867
2024-06-22 01:00:00,-1.0494564
2024-06-22 02:00:00,-0.38395312
2024-06-22 03:00:00,0.43890753
2024-06-22 04:00:00,1.1274413
2024-06-22 05:00:00,1.5868797
2024-06-22 06:00:00,1.8228537
2024-06-22 07:00:00,1.783204
2024-06-22 08:00:00,1.4108058
2024-06-22 09:00:00,0.8013762
2024-06-22 10:00:00,0.19992654
2024-06-22 11:00:00,-0.30214545
2024-06-22 12:00:00,-0.6809231
2024-06-22 13:00:00,-0.9098851
2024-06-22 14:00:00,-0.7930765
2024-06-22 15:00:00,-0.09208913
2024-06-22 16:00:00,0.6873391
2024-06-22 17:00:00,1.2699742
2024-06-22 18:00:00,1.5337297
2024-06-22 19:00:00,1.4879509
2024-06-22 20:00:00,1.0567516
2024-06-22 21:00:00,0.41700354
2024-06-22 22:00:00,-0.16042426
2024-06-22 23:00:00,-0.6276805
2024-06-23 00:00:00,-0.97833484
2024-06-23 01:00:00,-1.1714135
2024-06-23 02:00:00,-0.980379
2024-06-23 03:00:00,-0.1704387
2024-06-23 04:00:00,0.6592065
2024-06-23 05:00:00,1.351067
2024-06-23 06:00:00,1.7571018
2024-06-23 07:00:00,1.9001366
2024-06-23 08:00:00,1.7948025
2024-06-23 09:00:00,1.305393
2024-06-23 10:00:00,0.6505417
2024-06-23 11:00:00,0.061909016
2024-06-23 12:00:00,-0.42041588
2024-06-23 13:00:00,-0.789726
2024-06-23 14:00:00,-0.9863109
2024-06-23 15:00:00,-0.73431975
2024-06-23 16:00:00,0.0894891
2024-06-23 17:00:00,0.86949265
2024-06-23 18:00:00,1.4175235
2024-06-23 19:00:00,1.594037
2024-06-23 20:00:00,1.4645798
2024-06-23 21:00:00,0.94009537
2024-06-23 22:00:00,0.2862639
2024-06-23 23:00:00,-0.27319103
2024-06-24 00:00:00,-0.71042746
2024-06-24 01:00:00,-1.0346966
2024-06-24 02:00:00,-1.1574466
2024-06-24 03:00:00,-0.7746615
2024-06-24 04:00:00,0.10833734
2024-06-24 05:00:00,0.9243986
2024-06-24 06:00:00,1.5026085
2024-06-24 07:00:00,1.8862435
2024-06-24 08:00:00,1.9622183
2024-06-24 09:00:00,1.7428275
2024-06-24 10:00:00,1.1464727
2024-06-24 11:00:00,0.50437963
2024-06-24 12:00:00,-0.07790552
2024-06-24 13:00:00,-0.5376191
2024-06-24 14:00:00,-0.89796466
2024-06-24 15:00:00,-1.0027014
2024-06-24 16:00:00,-0.5347881
2024-06-24 17:00:00,0.33132523
2024-06-24 18:00:00,1.0542898
